recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
NO,2021,293,504,3437.0,29,13.0,37.0,1991.0,12
NO,2022,338,512,3969.0,24,14.0,38.0,1982.0,12
NO,2023,406,606,4225.0,28,11.0,35.0,1742.0,13
NO,2024,340,551,3730.0,21,12.0,37.0,1954.0,15
NYG,2020,321,517,3336.0,12,11.0,50.0,1768.0,13
NYG,2021,351,593,3463.0,15,20.0,38.0,1688.0,8
NYG,2022,385,582,3867.0,19,7.0,57.0,2779.0,24
NYG,2023,338,518,3351.0,15,12.0,85.0,1874.0,10
NYG,2024,366,591,3521.0,15,13.0,48.0,1783.0,13
NYJ,2020,292,499,3115.0,16,14.0,43.0,1683.0,9
NYJ,2021,357,603,3959.0,20,20.0,53.0,1667.0,14
NYJ,2022,357,627,4040.0,15,14.0,42.0,1686.0,13
NYJ,2023,356,601,3373.0,11,15.0,64.0,1647.0,7
NYJ,2024,385,607,4016.0,31,11.0,40.0,1561.0,8
PHI,2020,334,598,3728.0,22,20.0,65.0,2027.0,16
PHI,2021,330,537,3843.0,21,12.0,33.0,2810.0,26
PHI,2022,408,623,4943.0,28,9.0,48.0,3040.0,42
PHI,2023,394,598,4317.0,25,16.0,42.0,2232.0,22
PHI,2024,368,540,4243.0,29,7.0,58.0,3866.0,40
PIT,2020,475,724,4630.0,39,15.0,14.0,1403.0,13
PIT,2021,454,708,4232.0,25,11.0,40.0,1639.0,10
PIT,2022,364,571,3661.0,12,14.0,38.0,2073.0,16
PIT,2023,345,545,3650.0,15,10.0,37.0,2116.0,16
PIT,2024,341,529,3877.0,23,6.0,53.0,2195.0,14
SEA,2020,399,590,4419.0,42,14.0,53.0,2107.0,15
SEA,2021,324,495,3815.0,30,7.0,46.0,2074.0,18
SEA,2022,424,608,4535.0,32,13.0,49.0,2146.0,13
SEA,2023,371,575,4167.0,23,12.0,38.0,1580.0,11
SEA,2024,413,593,4379.0,21,16.0,54.0,1627.0,17
SF,2020,371,570,4320.0,25,17.0,39.0,1889.0,19
SF,2021,386,588,4972.0,28,17.0,37.0,2491.0,24
SF,2022,386,589,4692.0,33,9.0,37.0,2735.0,23
SF,2023,403,600,5372.0,37,13.0,38.0,2765.0,32
SF,2024,349,533,4424.0,23,16.0,36.0,2163.0,17
TB,2020,491,764,5837.0,52,15.0,28.0,2009.0,20
TB,2021,551,822,5983.0,46,13.0,30.0,1829.0,22
TB,2022,534,817,5097.0,28,11.0,24.0,1360.0,5
TB,2023,412,645,4730.0,34,12.0,48.0,1717.0,8
TB,2024,423,589,4690.0,43,16.0,41.0,2637.0,16
TEN,2020,334,511,3991.0,35,8.0,26.0,2741.0,26
TEN,2021,374,559,3965.0,24,17.0,48.0,2544.0,24
TEN,2022,285,456,3227.0,17,11.0,49.0,2131.0,16
TEN,2023,304,494,3512.0,14,11.0,64.0,1846.0,16
TEN,2024,336,530,3621.0,22,21.0,52.0,1855.0,11
WAS,2020,415,645,4102.0,17,17.0,52.0,1697.0,20
WAS,2021,356,550,3746.0,21,15.0,43.0,2061.0,13
WAS,2022,344,554,3783.0,24,16.0,48.0,2143.0,9
WAS,2023,407,636,4174.0,24,21.0,65.0,1592.0,14
WAS,2024,441,640,4777.0,34,10.0,54.0,2982.0,29
